Exercise,Difficulty Level,"Target Muscle Group ",Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,"Primary Equipment ",# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,"Continuous or Alternating Arms ",Grip,Load Position (Ending),"Continuous or Alternating Legs ",Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification,
Sandbag Front Rack Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Sandbag,1,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Front Rack,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Plate Overhead Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Weight Plate,1,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Overhead,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Plate Overhead Alternating Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Weight Plate,1,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Overhead,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Double Kettlebell Front Rack Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,2,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Front Rack,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Double Kettlebell Bottoms Up Front Rack Alternating Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,2,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Continuous,Bottoms Up,Front Rack,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Double Kettlebell Overhead Alternating Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,2,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Continuous,Pronated,Overhead,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Double Kettlebell Bottoms Up Overhead Alternating Russian Step Up,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,2,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Continuous,Bottoms Up,Overhead,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Double Kettlebell Suitcase Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,2,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Suitcase,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Kettlebell Goblet Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,1,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Continuous,Goblet,Front Rack,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Kettlebell Goblet Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,1,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Continuous,Goblet,Front Rack,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Dumbbell Goblet Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Dumbbell,1,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Continuous,Goblet,Front Rack,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Dumbbell Goblet Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Dumbbell,1,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Continuous,Goblet,Front Rack,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Kettlebell Horn Grip Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,1,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Continuous,Horn Grip,Front Rack,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Kettlebell Horn Grip Alternating Russian Step Up,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Kettlebell,1,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Continuous,Horn Grip,Front Rack,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Miniband Hip Thrust,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Quadriceps Femoris,Miniband,1,Bench (Flat),1,Bridge,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding,
Heavy Sandbag Bear Hug Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,1,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Bear Hug,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Heavy Sandbag Bear Hug Alternating Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,1,Plyo Box,1,Standing,Double Arm,Continuous,Neutral,Bear Hug,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Heavy Sandbag Bear Hug Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Heavy Sandbag,1,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Bear Hug,Continuous,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Heavy Sandbag Bear Hug Alternating Russian Step Up,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Iliopsoas,Heavy Sandbag,1,Plyo Box,1,Single Leg Standing Bent Knee,Double Arm,Continuous,Neutral,Bear Hug,Alternating,Foot Elevated (Front),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance,
Alternating Single Arm Macebell Reverse Mill,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,,0,Standing,Single Arm,Alternating,Neutral,Behind Back,Continuous,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics,
Ring Grip Straddle Planche,Grand Master,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,0,Prone,Double Arm,Continuous,Neutral,No Load,Continuous,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Unsorted*,Other,Compound,Bilateral,Calisthenics,
Single Arm Kettlebell Dead Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,1,,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Single Arm Kettlebell Dead Clean to Push Press,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,1,,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Single Arm Kettlebell Clean to Front Rack Ipsilateral Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Ipsilateral,Ballistics,
Single Arm Kettlebell Clean to Front Rack Ipsilateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Ipsilateral,Ballistics,
Single Arm Kettlebell Dead Clean to Push Jerk,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,1,,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Double Kettlebell Dead Clean to Push Jerk,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2,,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics,
Single Arm Kettlebell Bottoms Up Dead Clean,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Kettlebell,1,,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*,
Alternating Single Arm Kettlebell Bottoms Up Dead Clean,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Rectus Abdominis,Kettlebell,1,,0,Standing,Single Arm,Alternating,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Unsorted*,
Single Arm Kettlebell Dead Clean to Front Rack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Single Arm Kettlebell Dead Clean to Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,1,,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,Knee Dominant,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Alternating Single Arm Kettlebell Dead Clean to Thruster,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,Gluteus Maximus,Kettlebell,1,,0,Standing,Single Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,Knee Dominant,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Alternating Single Arm Kettlebell Dead Clean to Overhead Press,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,1,,0,Standing,Single Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Alternating Single Arm Kettlebell Dead Clean to Push Press,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,1,,0,Standing,Single Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Alternating Single Arm Kettlebell Dead Clean to Push Jerk,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,1,,0,Standing,Single Arm,Alternating,Pronated,Overhead,Continuous,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Alternating Single Arm Kettlebell Dead Clean to Front Rack Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1,,0,Standing,Single Arm,Alternating,Neutral,Front Rack,Continuous,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics,
Single Arm Macebell Bull Whip to Mill,Advanced,Shoulders,Posterior Deltoids,Rectus Abdominis,,Macebell,1,,0,Staggered Stance,Single Arm,Continuous,Neutral,Behind Back,Continuous,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Upper Body,Pull,Compound,Unilateral,Ballistics,
Double Kettlebell Bottoms Up Overhead Split Squat,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Split Squat,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Heavy Sandbag Bear Hug Kang Squat,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,1,,0,Standing,Double Arm,Continuous,Neutral,Bear Hug,Continuous,No Elevation,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Unsorted*,
Double Dumbbell Feet Elevated Renegade Row,Advanced,Back,Latissimus Dorsi,,,Dumbbell,2,Bench (Flat),1,Prone,Double Arm,Alternating,Neutral,Other,Continuous,Feet Elevated,Single Exercise,Horizontal Pull,Anti-Extension,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding,
Double Dumbbell Feet Elevated Renegade Row to Push Up,Advanced,Back,Latissimus Dorsi,,,Dumbbell,2,Bench (Flat),1,Prone,Double Arm,Alternating,Neutral,Other,Continuous,Feet Elevated,Combo Exercise,Horizontal Pull,Horizontal Push,Anti-Extension,Sagittal Plane,,,Upper Body,Push & Pull,Compound,Unilateral,Bodybuilding,
Double Dumbbell Suitcase Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Barbell Front Rack Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,,0,Standing,Double Arm,Continuous,Pronated,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Barbell Overhead Forward Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Heavy Sandbag Bear Hug Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Brachii,Heavy Sandbag,1,,0,Standing,Double Arm,Continuous,Neutral,Bear Hug,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Full Body,Other,Compound,Unilateral,Unsorted*,
Heavy Sandbag Shoulder Contralateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Heavy Sandbag,1,,0,Standing,Single Arm,Continuous,Neutral,Shoulder,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Unsorted*,
Barbell Back Rack Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,,0,Standing,Double Arm,Continuous,Pronated,Back Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Suitcase Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Standing,Double Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Front Rack Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Bottoms Up Front Rack Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Dumbbell Front Rack Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Dumbbell Overhead Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,2,,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Dumbbell Suitcase Contralateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,,0,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Dumbbell Front Rack Contralateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Dumbbell Overhead Contralateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Double Kettlebell Overhead Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Standing,Double Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Dumbbell Goblet Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,,0,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Clubbell Order Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,1,,0,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Clubbell Order Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,2,,0,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Clubbell Order Contralateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,1,,0,Standing,Single Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Macebell Order Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Macebell,1,,0,Standing,Double Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Double Kettlebell Bottoms Up Overhead Forward Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2,,0,Standing,Double Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Suitcase Contralateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Bodyweight Forward Lunge,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bodyweight,1,,0,Standing,No Arms,Continuous,No Grip,No Load,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Bulgarian Bag Back Rack Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Bulgarian Bag,1,,0,Standing,Double Arm,Continuous,Neutral,Back Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Sandbag Front Rack Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sandbag,1,,0,Standing,Double Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Plate Overhead Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Weight Plate,1,,0,Standing,Double Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Kettlebell Front Rack Contralateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Bottoms Up,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Kettlebell Overhead Contralateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Pronated,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Single Arm Kettlebell Bottoms Up Overhead Contralateral Forward Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding,
Kettlebell Goblet Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Double Arm,Continuous,Goblet,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Kettlebell Horn Grip Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Double Arm,Continuous,Horn Grip,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Barbell Zercher Forward Lunge,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1,,0,Standing,Double Arm,Continuous,No Grip,Zercher,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,
Single Arm Dumbbell Suitcase Ipsilateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,,0,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Single Arm Dumbbell Front Rack Ipsilateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,,0,Standing,Single Arm,Continuous,Neutral,Front Rack,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Single Arm Dumbbell Overhead Ipsilateral Forward Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Dumbbell,1,,0,Standing,Single Arm,Continuous,Neutral,Overhead,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Single Arm Clubbell Order Ipsilateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Clubbell,1,,0,Standing,Single Arm,Continuous,Neutral,Order,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
Single Arm Kettlebell Suitcase Ipsilateral Forward Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1,,0,Standing,Single Arm,Continuous,Neutral,Suitcase,Continuous,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Ipsilateral,Bodybuilding,
